sense_form,pos,emoji,kind,gloss,definition,mnemonic,anchor
alodom,th,🗳️,interest,autonomy,autonomy interest (choice / agency),ballot records choice; choice is agency and self-direction,interests.md#prescription-the-ought-this-act-for-this-interest
alodom,w,🗳️,interest,autonomy,autonomy interest (choice / agency),ballot records choice; choice is agency and self-direction,interests.md#personal-possession
olozom,th,🧰,interest,competence,competence interest (readiness / efficacy),toolbox holds gear for the job; readiness is prepared skill,interests.md#prescription-the-ought-this-act-for-this-interest
olozom,w,🧰,interest,competence,competence interest (readiness / efficacy),toolbox holds gear for the job; readiness is prepared skill,interests.md#personal-possession
onogom,th,🪢,interest,relatedness,relatedness interest (bond / belonging),knot ties two ends; bond is connection and care,interests.md#prescription-the-ought-this-act-for-this-interest
onogom,w,🪢,interest,relatedness,relatedness interest (bond / belonging),knot ties two ends; bond is connection and care,interests.md#personal-possession
awerom,th,🍓,interest,pleasure,pleasure interest (sweetness / enjoyment),strawberry is pure sweetness; sweetness is enjoyment payoff,interests.md#prescription-the-ought-this-act-for-this-interest
awerom,w,🍓,interest,pleasure,pleasure interest (sweetness / enjoyment),strawberry is pure sweetness; sweetness is enjoyment payoff,interests.md#personal-possession
uhuhem,th,🛡️,interest,survival,survival interest (defense / safety),shield blocks blows; defense is safety and health,interests.md#prescription-the-ought-this-act-for-this-interest
uhuhem,w,🛡️,interest,survival,survival interest (defense / safety),shield blocks blows; defense is safety and health,interests.md#personal-possession
egem,th,🥚,interest,interest,unspecified interest (potential),egg holds unrealized life; potential names an interest without picking which,interests.md#prescription-the-ought-this-act-for-this-interest
egem,w,🥚,interest,interest,unspecified interest (potential),egg holds unrealized life; potential names an interest without picking which,interests.md#personal-possession
uvuvum,th,🎣,evidential,WITNESSED,witnessed evidential (per memory / reconstructive),fishing pulls from opaque water; memory retrieves a past observation (may be a boot),knowing.md#evidentiality
uvuvum,w,🎣,evidential,WITNESSED,witnessed evidential (per memory / reconstructive),fishing pulls from opaque water; memory retrieves a past observation (may be a boot),knowing.md#mood-on-one-adjective
adezem,th,👁️‍🗨️,evidential,LIVE,live evidential (present observation / concurrent access),eye-in-speech attests while the scene is in view; live is seeing-and-saying now (not memory),knowing.md#evidentiality
adezem,w,👁️‍🗨️,evidential,LIVE,live evidential (present observation / concurrent access),eye-in-speech attests while the scene is in view; live is seeing-and-saying now (not memory),knowing.md#mood-on-one-adjective
eregom,th,⏺️,evidential,RECORDED,recorded evidential (on record / captured),record button preserves now; record is playback of what was kept,knowing.md#evidentiality
eregom,w,⏺️,evidential,RECORDED,recorded evidential (on record / captured),record button preserves now; record is playback of what was kept,knowing.md#mood-on-one-adjective
abawam,th,🐾,evidential,PATTERN,pattern evidential (from trail of cases),paw prints mark a trail; trail is regularity left behind,knowing.md#evidentiality
abawam,w,🐾,evidential,PATTERN,pattern evidential (from trail of cases),paw prints mark a trail; trail is regularity left behind,knowing.md#mood-on-one-adjective
unevem,th,🕵️,evidential,INFERRED,inferred evidential (from investigation),investigating follows clues; investigation is reasoned inference,knowing.md#evidentiality
unevem,w,🕵️,evidential,INFERRED,inferred evidential (from investigation),investigating follows clues; investigation is reasoned inference,knowing.md#mood-on-one-adjective
eraram,th,👂,evidential,TOLD,told evidential (hearsay / reportative),ear enables listening; listening under /th/ is hearsay channel,knowing.md#evidentiality
eraram,w,👂,evidential,TOLD,told evidential (hearsay / reportative),ear enables listening; listening as a /w/ detail is hearsay channel,knowing.md#mood-on-one-adjective
eherem,th,❤️,evidential,FELT,felt evidential (gut-known / proprioceptive),heart marks gut feeling; gut-felt is affective knowing channel,knowing.md#evidentiality
eherem,w,❤️,evidential,FELT,felt evidential (gut-known / proprioceptive),heart marks gut feeling; gut-felt is affective knowing channel,knowing.md#mood-on-one-adjective
orolom,th,📜,evidential,STORY,story evidential (tale / lore / anecdote),scroll holds a tale; tale is narrative framing channel,knowing.md#evidentiality
orolom,w,📜,evidential,STORY,story evidential (tale / lore / anecdote),scroll holds a tale; tale is narrative framing channel,knowing.md#mood-on-one-adjective
onenom,th,💰,residue,RESIDUE,residue mood (outcome still on the current tally),money bag holds what is owed; residue is an unpaid balance still on the books,knowing.md#residue-and-former-climate
onenom,w,💰,residue,RESIDUE,residue mood (outcome still on the current tally),money bag holds what is owed; residue is an unpaid balance still on the books,knowing.md#mood-on-one-adjective
emebem,th,🪹,former_climate,FORMER,former-climate mood (not the climate claimed now),empty nest shows the nesting season is over; former climate is usual weather that is not current,knowing.md#residue-and-former-climate
emebem,w,🪹,former_climate,FORMER,former-climate mood (not the climate claimed now),empty nest shows the nesting season is over; former climate is usual weather that is not current,knowing.md#mood-on-one-adjective
emabar,th,🗺️,plan,plan-sketch,plan mood sketch map-resolution (direction-only intention),map charts a route; sketch plan is intention without steps,intention.md#plan
emabar,w,🗺️,plan,plan-sketch,plan mood sketch map-resolution (direction-only intention),map charts a route; sketch plan is intention without steps,intention.md#plan
emabam,th,🗺️,plan,plan-itinerary,plan mood itinerary map-resolution (steps on the map),map charts a route; itinerary plan fills in how,intention.md#plan
emabam,w,🗺️,plan,plan-itinerary,plan mood itinerary map-resolution (steps on the map),map charts a route; itinerary plan fills in how,intention.md#plan
emaban,th,🗺️,plan,plan,plan mood proper (this plan-word names a particular object),map charts a route; -n is ordinary proper not a map grain,intention.md#plan
emaban,w,🗺️,plan,plan,plan mood proper (this plan-word names a particular object),map charts a route; -n is ordinary proper not a map grain,intention.md#plan
emabal,th,🗺️,plan,plan-atlas,plan mood atlas map-resolution (includes backups; fully prepared),map charts a route; atlas plan is so detailed it includes backups,intention.md#plan
emabal,w,🗺️,plan,plan-atlas,plan mood atlas map-resolution (includes backups; fully prepared),map charts a route; atlas plan is so detailed it includes backups,intention.md#plan
elezom,th,🔭,predict,PREDICT,predict mood (later-event forecast),telescope shows what is far; forecast looks ahead at a distance,intention.md#predict
elezom,w,🔭,predict,PREDICT,predict mood (later-event forecast),telescope shows what is far; forecast looks ahead at a distance,intention.md#predict
ehegel,th,✅,decision,DECISION-irreversible,decision mood irreversible changeability (settled pick),checkmark confirms a pick; irreversible decision is settled as final,intention.md#decision-revisability
ehegel,w,✅,decision,DECISION-irreversible,decision mood irreversible changeability (settled pick),checkmark confirms a pick; irreversible decision is settled as final,intention.md#decision-revisability
ehegem,th,✅,decision,DECISION-modifiable,decision mood modifiable changeability (open to revision),checkmark confirms a pick; modifiable decision stays open to change,intention.md#decision-revisability
ehegem,w,✅,decision,DECISION-modifiable,decision mood modifiable changeability (open to revision),checkmark confirms a pick; modifiable decision stays open to change,intention.md#decision-revisability
ehegen,th,✅,decision,DECISION,decision mood proper (this decision-word names a particular object),checkmark confirms a pick; -n is ordinary proper not a firmness,intention.md#decision-revisability
ehegen,w,✅,decision,DECISION,decision mood proper (this decision-word names a particular object),checkmark confirms a pick; -n is ordinary proper not a firmness,intention.md#decision-revisability
eheger,th,✅,decision,DECISION-temporary,decision mood temporary changeability (pick for now),checkmark confirms a pick; temporary decision holds only this moment,intention.md#decision-revisability
eheger,w,✅,decision,DECISION-temporary,decision mood temporary changeability (pick for now),checkmark confirms a pick; temporary decision holds only this moment,intention.md#decision-revisability
odohom,th,💭,may,MAY,may mood (could be; default),thought balloon: the scene may be so; -m does not find out and does not shrug it off,knowing.md#may
odohom,w,💭,may,MAY,may mood (could be; default),thought balloon: the scene may be so; -m does not find out and does not shrug it off,knowing.md#mood-on-one-adjective
