emoji,english,clarity
😀,fun,uvu
😄,happy,aho
😅,flustered,uve
🤣,laugh,alu
🙂,smile,uze
🙃,upsidedown,ubu
🫠,melt,eme
😉,wink,uwu
😊,kind,ugu
😇,innocent,uno
😍,wonderful,owe
🤩,wow,owo
😘,airkiss,aru
🥲,proud,obu
😋,delicious,edu
🤪,crazy,ago
🤭,chuckle,uge
🫣,peek,ebe
🤫,quiet,ugude
🤔,thinking,
🤐,silent,uzelu
🤨,skeptical,ezu
😐,indifferent,unu
😑,unimpressed,unume
🫥,invisible,unuvu
😏,heh,ehe
😒,frustration,uva
🙄,eyeroll,ero
😬,grimace,uga
🤥,lie,ule
🫨,shake,aze
😌,relief,eru
😔,pensive,ebu
😴,tired,ude
😷,mask,ama
🤒,sick,uzu
🤕,injury,unujo
🤢,nauseous,anu
🤮,vomit,ovu
🤧,sneeze,eze
🥵,hot,oho
🥶,cold,ogo
🥴,drunk,udu
😵,dizzy,udo
🤯,whoa,owa
🤠,cowboy,ogowo
🥳,partying,abo
🥸,disguise,uduzu
😎,cool,ogolo
🤓,geek,ege
☹️,frown,ovo
😯,surprise,uzure
😳,embarrassed,ema
🥺,plead,eba
😧,exasperate,eza
😰,worry,oworo
😢,sad,aza
😭,crying,ogu
😱,afraid,ava
😣,persevere,ebere
😞,disappointed,uda
😩,weary,ewa
🥱,boring,oburo
😡,angry,ano
🤬,swear,ezawe
👿,devil,eduve
💀,skull,uzugu
☠️,death,eda
💩,poop,obo
🤡,clown,ogolowo
👹,monster,ome
👺,goblin,ogubo
👻,ghost,ogoho
👽,alien,alune
👾,weird,ewu
🤖,robot,oro
🙈,ignore,ugo
🙉,nohear,one
🙊,nospeak,oneza
💌,loveletter,ole
💘,cupid,ugubu
💖,motivation,omu
💓,beat,ebade
💞,revolve,erove
💕,couple,
💔,miss,umu
❤️,love,olevo
💙,like,ulegu
💯,best,ebeze
💢,hate,ahe
💥,crash,aga
💫,dizzy,udoza
💦,sweat,ezaweda
💨,air,arura
🕳️,hole,ohe
💬,word,oworodo
🗯️,shout,ozu
💭,think,uduhu
💤,sleeping,ezelu
👋,hello,eho
✋,hand,ahana
🖖,prosper,obero
👌,approve,
🤏,short,ozo
✌️,victory,uvo
🤞,crossed,oge
🤘,horns,ohoro
👈,that,ada
👉,this,uduhuzu
👆,pronoun,oboru
🖕,middlefinger,ume
👇,me,ememe
☝️,sub,uzubu
🫵,you,ojo
👍,fine,uvenu
👎,bad,aba
✊,fist,uvuzu
👏,clap,agala
🙌,celebration,egela
👐,push,ubuzu
🤲,hold,oholo
🤝,join,oju
🙏,thank,adaha
✍️,write,uwe
🤳,selfie,ezele
💪,arm,
🦵,leg,ele
🦶,foot,ovodo
👂,ear,era
👃,nose,onezo
🧠,brain,abu
🫀,heart,ehare
🫁,lung,ulu
🦷,tooth,odo
🦴,bone,obeno
👀,eyes,ezo
👁️,eye,ejo
👅,tongue,odu
👄,mouth,omudo
👶,baby,aboba
🧒,child,uguhu
👦,boy,obobo
👧,girl,uguru
🧑,human,uha
👨,guy,ugogu
👩,woman,owamo
👴,oldman,ola
👵,oldwoman,olo
🙅,maynot,amo
💁,have,aheva
🙋,raise,aruze
🧏,deaf,edave
🙇,sorry,ozoro
🤦,ugh,uguhugu
🤷,dunno,udonu
👮,cop,ogobo
🕵️,detective,ede
💂,guard,ugaru
🥷,ninja,una
👷,constructionworker,ogunu
🫅,monarch,oma
🤴,king,ugunu
👸,queen,ugene
👳,sikh,uzuguhu
🤵,suit,uzudu
👰🏻,bride,ube
🤰,pregnant,ebare
👼,angel,ane
🎅,Santa,azana
🦸,hero,ega
🧙,wizard,uwa
🧚,fairy,avu
🧛,vampire,ubedu
🧜,mermaid,emaru
🧝,elf,eleve
🧞,genie,egu
🧟,zombie,ozume
🧌,troll,odoro
💆,massage,amaze
🚶,walk,awa
🧍,body,obodo
🧎,kneel,egene
🏃,run,uru
💃,dance,ade
🕴️,float,ova
🧖,relax,erale
🧗,climb,ugulu
🤺,fencing,evu
🏇,ride,ure
⛷️,ski,uzuguzu
🏂,snowboard,ozona
🏌️,golf,ogolovo
🏄,surf,uzuru
🚣,row,orowo
🏊,swim,uzuwu
🏋️,exercise,aruzera
🚴,biker,ubegu
🤼,wrestle,ewe
🤹,juggle,uje
🛀,bathtub,abudu
💏,kiss,uguzu
💑,couple,ogube
🗣️,speak,ezabe
👤,person,ebo
👥,pair,ebobe
🫂,hug,uhu
👪,family,avumo
👣,step,ezede
🦰,hair,ahura
🐒,monkey,omenogo
🦍,gorilla,ogura
🦧,orangutan,ora
🐕,dog,odogo
🦮,leash,ela
🐩,poodle,obode
🐺,wolf,owolo
🦊,fox,ovozo
🦝,raccoon,aro
🐈,cat,agada
🦁,lion,ulo
🐅,tiger,udegu
🐆,leopard,elo
🫎,moose,omo
🫏,donkey,ode
🐎,horse,ohero
🦄,unicorn,unugo
🦓,zebra,ezabera
🦌,deer,edere
🦬,bison,ubo
🐂,ox,ozozo
🐄,cow,ogowogo
🐖,pig,ubugu
🐗,boar,oba
🐏,ram,ara
🐑,sheep,ezehe
🐐,goat,oga
🐪,camel,age
🦙,llama,ala
🦒,giraffe,ugare
🐘,elephant,eleba
🦣,mammoth,amoma
🦏,rhinoceros,uro
🦛,hippopotamus,uho
🐁,mouse,omuze
🐀,rat,arada
🐹,hamster,ahema
