lemma,literal
ability,bicep
able,bicep
about-topic,speech
above,up
absolutely,hundred
abundance,hundred
accept,handshake
access,unlocked
accessibility,wheelchair
accident,boom
accomplish,trophy
accord,handshake
account,ledger
achieve,trophy
achievement,trophy
acrobat,cartwheel
across,bridge-night
act,running
action,running
active,running
activity,running
actor,theater
actual,yes
actually,yes
add,plus
addition,plus
additional,plus
address,email
administration,classical-building
admit,door
adopt,baby
adult,person
advance,chart-up
advantage,chart-up
advertise,megaphone
advice,lightbulb
affect,chains
afraid,fear
afternoon,sun
again,repeat
age,birthday-cake
aged,old-man
agency,office
agenda,clipboard
agent,detective
ago,mantel-clock
agree,handshake
agreement,handshake
ahead,forward
aid,life-ring
aim,bullseye
air,wind
airport,airplane
alarm,alarm-clock
album,cd
alert,warning
alive,seedling
all,infinity
alliance,handshake
allow,unlocked
almost,pushpin
alone,1
alright,ok
alter,refresh
alternative,option
always,infinity
amazement,exclamation-double
amid,silhouettes
among,silhouettes
amount,abacus
analysis,bar-chart
analyst,bar-chart
analyze,microscope
animal,paw-prints
announce,megaphone
annual,calendar
anonymous,silhouette
another,plus
answer,speech
anxiety,worried
any,shuffle
anybody,person
anyone,person
anything,label
anyway,shrug
anywhere,pushpin
apart,unlink
apartment,house
apologize,cry
apology,cry
apparent,eyes
apparently,eyes
appeal,starstruck
appear,disguise
appearance,eyes
applause,clap
application,clipboard
apply,clipboard
appreciate,pray
approach,arrival
appropriate,check
approve,thumbs-up
approx,dash-wavy
approximately,dash-wavy
archery,bow-arrow
area,world-map
argue,speech
argument,speech
arise,sunrise
arm,bicep
armor,shield
arrange,clipboard
arrest,police
arrive,arrival
arrow,bow-arrow
art,palette
article,newspaper
ashes,urn
ask,question-red
assassin,ninja
assist,life-ring
associate,link
association,handshake
assume,thought
astronomy,telescope
attach,paperclip
attack,sword-crossed
attempt,crossed-fingers
attend,bellhop
attention,eyes
attitude,smirk
attract,starstruck
audience,silhouettes
audio,ear
authentic,yes
author,writing-hand
available,check
average,bar-chart
aviator,pilot
avoid,prohibited
award,medal
aware,eyes
away,airplane
background,framed-picture
bacteria,microbe
bad,thumbs-down
badly,thumbs-down
bag,handbag
baggage,luggage
balance,scale
ball,soccer
band,music-note
bar,beer
base,brick
basic,brick
basis,brick
bathe,shower
bathroom,toilet
battle,sword-crossed
beat,drum
beautiful,flower
become,butterfly
bedroom,bed
begin,play
behavior,running
behaviour,running
belief,pray
believe,pray
below,down
benefit,life-ring
beside,left-right
between,left-right
beyond,milky-way
big,whale
bike,bicycle
bill,credit-card
bin,wastebasket
birth,pregnant
bit,puzzle-piece
bite,lip-bite
blade,knife
blame,point
block,black-square
blog,newspaper
blood,blood-drop
blow,blow-kiss
board,clipboard
body,person
bolt,nut-bolt
bond,chains
bonds,chains
border,passport-control
bored,yawn
boss,crown
both,2
bottle,baby-bottle
bottom,down
box,package
branch,tree
brawl,fight
break,broken-heart
breath,lungs
breathe,lungs
breathing,lungs
bridge,bridge-night
brief,memo
bring,package
broad,left-right
brother,man
buddy,holding-hands
budget,money-bag
build,hammer
builder,construction-worker
building,classical-building
burial,coffin
burn,fire
business,briefcase
bust,silhouette
busy,dash
buy,cart
bye,wave
cable,cable-car
cafe,coffee
cake,birthday-cake
calculate,abacus
call,phone
calm,dove
camp,tent
campaign,ballot-box
cancel,cross
candidate,ballot-box
capital,classical-building
card,credit-card
cardiac,heart
career,briefcase
carefully,eyes
carry,package
case,file-folder
cash,money-bag
cast,fishing
catch,fishing
category,label
cause,chains
caution,warning
celebrate,party-popper
cell,microbe
cemetery,headstone
cent,coin
center,bullseye
central,bullseye
century,mantel-clock
certain,check
certainly,check
challenge,rock
champion,medal
chance,crossed-fingers
change,refresh
chapter,book
character,theater
characteristic,fingerprint
charge,credit-card
chat,speaking-head
cheap,receipt
checkbox,check
chef,cook
chest,treasure-chest
chief,crown
chill,cool
choice,option
choose,option
chop,axe
circumstance,worried
city,cityscape
claim,placard
class,school
classical,classical-building
clean,soap
cleaner,broom
clear,sparkles
clearly,sparkles
clever,owl
click,computer-mouse
climb,climbing
clock,mantel-clock
close,locked
cloth,t-shirt
clothes,womans-clothes
club,classical-building
coach,trophy
code,laptop
colleague,office-worker
collect,basket
collection,basket
college,graduation-cap
color,palette
colour,palette
combat,fight
combine,link
come,arrival
comfortable,couch-lamp
commence,play
comment,speech
commercial,department-store
commission,classical-building
commit,handshake
committee,silhouettes
common,globe
communication,speech
community,silhouettes
companion,holding-hands
company,office
compare,scale
comparison,left-right
competition,trophy
complete,hourglass-done
completely,hundred
complex,puzzle-piece
component,puzzle-piece
compose,writing-hand
compute,abacus
computer,laptop
concept,thought
concern,worried
concerning,worried
concert,music-note
conclude,hourglass-done
conclusion,checkered-flag
condition,thermometer
conduct,megaphone
conference,office
confirm,check
conflict,sword-crossed
congratulate,clap
connect,chains
connection,chains
consequence,chains
conservative,classical-building
consider,thought
consideration,scale
constantly,repeat
construct,hammer
consumer,department-store
contact,phone
contain,package
content,page
context,link
continue,fast-forward
contract,scroll
contrast,left-right
contribute,plus
contribution,plus
control,gear
conversation,speech
convert,refresh
convince,speech
cooperate,handshake
cop,police
copper,coin
copy,page
corner,pushpin
corporation,office
cosmos,milky-way
cost,money-bag
couch,couch-lamp
count,numbers
count-up,numbers
country,globe
course,graduation-cap
court,scale
cover,umbrella
craft,hammer
crash,boom
crave,pleading
cream,ice-cream
create,hammer
credit,credit-card
crime,police
crisis,warning
critical,exclamation-red
crowd,silhouettes
cultural,theater
culture,theater
currency,currency-exchange
current,lightning
currently,mantel-clock
custom,customs
customer,department-store
cut,scissors
cycle,bicycle
dad,man
daily,calendar
damage,broken-heart
dance,dancing
danger,warning
dark,night
data,bookmark-tab
database,laptop
date,calendar
daughter,girl
day,sun
dead,skull
deadline,alarm-clock
deal,handshake
dear,love
death,skull
debate,speech
debt,money-bag
decade,calendar
decide,brain
decision,brain
decline,chart-down
decrease,minus
deep,ocean-wave
defence,shield
defend,shield
defense,shield
define,memo
definitely,yes
definition,memo
degree,graduation-cap
delay,alarm-clock
delete,cross
deliver,package
demand,megaphone
demonstrate,yes
demonstration,placard
dental,tooth
deny,prohibited
depart,door
department,office
depend,link
depression,cry
describe,speech
design,palette
designer,palette
desire,pleading
desk,laptop
despite,shield
detach,unlink
detail,magnify
detect,magnify
determine,brain
develop,seedling
developer,technologist
development,seedling
dialogue,speech
diamond,gemstone
diaper,baby-changing
diary,notebook
die,skull
difference,shuffle
different,shuffle
difficult,rock
difficulty,rock
dinner,plate
direct,compass
direction,compass
directly,point
director,crown
dirty,poop
disapprove,thumbs-down
disc,cd
disconnect,unlink
discover,magnify
discuss,speech
discussion,speech
disease,medical
dish,petri-dish
disk,cd
dislike,thumbs-down
disorder,dizzy
display,cinema
distance,ruler
distinction,left-right
district,cityscape
diverse,shuffle
djinn,genie
document,file-folder
donate,wrapped-gift
double,2
doubt,worried
downward,down
downwards,down
dozen,numbers
draft,writing-hand
draw,pencil
dream,thought
drink,tropical-drink
drinking,drinking-water
drive,car
driver,car
drop,chart-down
drug,medical
drums,drum
dry,desert
due,hourglass
duel,sword-crossed
dunno,shrug
duty,clipboard
dwelling,house
each,1
early,sunrise
earn,money-bag
earth,globe
easily,ok
east,sunrise
easy,ok
eat,hamburger
economic,chart-up
economy,chart-up
edge,knife
education,graduation-cap
effect,boom
effective,bullseye
effort,bicep
eight,8
either,option
elder,older-person
elderly,old-man
elect,ballot-box
election,ballot-box
electricity,lightning
element,atom
else,shuffle
elsewhere,globe
elves,elf
embarrassment,facepalm
emerge,sunrise
emergency,sos
emotion,heartbeat
emphasis,exclamation-red
employ,briefcase
employee,office-worker
employment,briefcase
empty,hole
enable,unlocked
encourage,thumbs-up
end,hourglass-done
endless,infinity
enemy,sword-crossed
energy,lightning
engage,link
engine,fire-engine
engineer,technologist
enjoy,smile
enough,check
ensure,locked
enter,door
entire,infinity
entry,door
environment,national-park
environmental,national-park
equal,equals
equipment,toolbox
especially,sparkles
essay,memo
essential,sos
establish,classical-building
estimate,abacus
evening,bridge-night
event,boom
eventually,hourglass
ever,infinity
every,infinity
everybody,silhouettes
everyday,calendar
everyone,silhouettes
everything,infinity
everywhere,globe
evidence,bookmark-tab
evil,devil
evolve,butterfly
exactly,check
exam,test-tube
examine,microscope
example,lightbulb
excellent,star
except,prohibited
exchange,currency-exchange
excite,starstruck
excited,starstruck
executive,briefcase
exercise,running
exhibit,cinema
exist,sparkles
exit,door
expand,chart-up
expansion,chart-up
expect,hourglass
expectation,crystal-ball
expense,money-bag
expensive,money-bag
experience,older-person
experiment,test-tube
expert,graduation-cap
expire,hourglass-done
explain,speech
explanation,speech
explode,bomb
explore,magnify
express,megaphone
expression,smile
extend,ruler
extension,plus
extent,ruler
extinguish,extinguisher
extra,plus
extremely,mountain
face,smile
facility,office
fact,bookmark-tab
factor,gear
fail,chart-down
failure,chart-down
fair,scale
faith,pray
fall,chart-down
false,cross
famous,star
fan,hand-fan
far,milky-way
farm,farmer
fascinate,starstruck
fast,fast-forward
father,man
favor,thumbs-up
favorite,star
feature,star
federal,classical-building
feed,hamburger
feel,heartbeat
feet,foot
fever,thermometer
few,ant
fewer,minus
field,field-hockey
figure,abacus
file,file-folder
fill,package
final,hourglass-done
finally,checkered-flag
finance,money-bag
financial,money-bag
find,magnify
fine,ok
finger,middle-finger
finish,hourglass-done
firm,office
first,medal
fit,puzzle-piece
five,5
fix,mechanic
flat,flat-shoe
flex,bicep
flight,airplane
float,levitate
floor,ladder
flow,ocean-wave
focus,bullseye
folder,file-folder
follow,footprints
following,next-track
food,hamburger
footnote,asterisk
footprint,footprints
force,bicep
forecast,crystal-ball
foreign,globe
forest,tree
forever,infinity
forex,currency-exchange
forget,thought
form,clipboard
former,mantel-clock
fortune,fortune-cookie
four,4
free,dove
freedom,dove
fresh,sparkles
friend,holding-hands
friendship,holding-hands
frighten,fear
front,forward
frowning,frown
fruit,apple
fuel,gas-pump
full,hundred
fully,hundred
fun,smile
function,gear
fund,money-bag
funeral,coffin
funny,laugh
furniture,chair
further,fast-forward
furthermore,plus
future,crystal-ball
gain,chart-up
gamble,crossed-fingers
game,video-game
garbage,litter
garden,potted-plant
gas,gas-pump
gateway,door
gather,basket
gaze,eyes
gene,dna
general,globe
generally,globe
generation,family
genetic,dna
genuine,yes
germ,microbe
get,package
gift,wrapped-gift
give,wrapped-gift
glad,smile
glance,eyes
glass,wine
glitter,sparkles
global,globe
glow,sparkles
go,walking
god,om
good,correct
goodbye,wave
govern,classical-building
