english,clarity
i,uju
you,ojo
he,ehe
we,ewe
you,ojo
they,edo
this,udu
that,ada
here,ehe
there,ede
who,owo
what,awa
where,ewe
when,ewe
how,oho
not,ono
all,ala
many,amo
some,oze
few,eve
other,ode
one,one
two,odo
three,ede
four,ovu
five,uve
big,ubu
long,olo
wide,uwe
thick,udu
heavy,eha
small,aza
short,ozo
narrow,ano
thin,udu
woman,owa
man,ama
human,uha
child,ugu
wife,uwe
husband,uha
mother,ome
father,ave
animal,anu
fish,uvu
bird,ubu
dog,odo
louse,olu
snake,aze
worm,owo
tree,ede
forest,ove
stick,uzu
fruit,uvu
seed,eze
leaf,ela
root,oro
bark,aba
flower,ove
grass,aga
rope,ore
skin,uzu
meat,ema
blood,obo
bone,obe
fat,ava
egg,ege
horn,oho
tail,adu
feather,eva
hair,ahu
head,eha
ear,era
eye,ejo
nose,one
mouth,omu
tooth,odo
tongue,odu
fingernail,uve
foot,ovo
leg,ele
knee,ege
hand,aha
wing,uwu
belly,ebo
guts,ugu
neck,ene
back,aba
breast,eba
heart,eha
liver,ule
drink,udu
eat,eda
bite,ube
suck,uzu
spit,uzu
vomit,ovu
blow,obo
breathe,eba
laugh,alu
see,eze
hear,eha
know,ogo
think,udu
smell,eze
fear,eva
sleep,eze
live,ule
die,ude
kill,ugu
fight,uvu
hunt,uhu
hit,uhu
cut,ugu
split,uzu
stab,aza
scratch,aza
dig,udu
swim,uzu
fly,ovo
walk,awa
come,oge
to lie,odu
sit,uzu
stand,aza
turn,udu
fall,ava
give,uge
hold,oho
squeeze,uze
rub,uru
wash,awa
wipe,uwe
pull,ubu
push,ubu
throw,odo
tie,ude
sew,eze
count,ogu
say,azo
sing,uzu
play,abo
float,ova
flow,ovo
freeze,eve
swell,eze
sun,uzu
moon,omo
star,aza
water,awe
rain,aru
river,ure
lake,ale
sea,eza
salt,aza
stone,oze
sand,aza
dust,udu
earth,era
cloud,ogu
fog,ovo
sky,ozo
wind,uwu
snow,ozo
ice,uge
smoke,oze
fire,uve
ash,aza
burn,ubu
road,ora
mountain,omu
red,ere
green,ege
yellow,ole
white,uwe
black,aba
night,unu
day,ado
year,ore
warm,awa
cold,ogo
full,uvu
new,ene
old,olo
good,ogo
bad,aba
rotten,ore
dirty,udo
straight,azu
round,oru
sharp,aza
blunt,ubu
smooth,ozo
wet,ewe
dry,odo
correct,oge
near,ena
far,ava
right,uru
left,ele
at,ada
in,unu
with,uwu
and,ana
if,uvu
because,eba
name,ane
